"HBID","dti_dtitk_jhutract_fa_atr_l","dti_dtitk_jhutract_fa_atr_r","dti_dtitk_jhutract_fa_cst_l","dti_dtitk_jhutract_fa_cst_r","dti_dtitk_jhutract_fa_cgc_l","dti_dtitk_jhutract_fa_cgc_r","dti_dtitk_jhutract_fa_cgh_l","dti_dtitk_jhutract_fa_cgh_r","dti_dtitk_jhutract_fa_forceps_mjor","dti_dtitk_jhutract_fa_forceps_minor","dti_dtitk_jhutract_fa_ifo_l","dti_dtitk_jhutract_fa_ifo_r","dti_dtitk_jhutract_fa_ilf_l","dti_dtitk_jhutract_fa_ilf_r","dti_dtitk_jhutract_fa_slf_l","dti_dtitk_jhutract_fa_slf_r","dti_dtitk_jhutract_fa_uf_l","dti_dtitk_jhutract_fa_uf_r"
3632718209,0.38677,0.35578,0.56474,0.58966,0.56174,0.53182,0.33778,0.32565,0.56351,0.4365,0.43987,0.43859,0.49501,0.50601,0.39946,0.4347,0.39804,0.40736
2436560104,0.36661,0.3543,0.53695,0.53423,0.46105,0.51446,0.40087,0.37869,0.60676,0.43186,0.42697,0.41951,0.4272,0.45862,0.36552,0.39068,0.40803,0.43109
209477679,0.36413,0.3539,0.54935,0.56511,0.56539,0.52087,0.39047,0.34054,0.59978,0.43433,0.43513,0.44462,0.43866,0.4654,0.37465,0.40411,0.38436,0.41417
880826039,0.36222,0.35119,0.51854,0.52802,0.54852,0.48891,0.44948,0.42453,0.58029,0.41723,0.42225,0.42647,0.45657,0.47903,0.35235,0.41001,0.43102,0.41463
3342436384,0.37604,0.35838,0.52225,0.53652,0.53851,0.49501,0.34153,0.37896,0.58709,0.4203,0.41381,0.44978,0.42624,0.46516,0.36994,0.3783,0.38215,0.40784
3747244531,0.39954,0.38133,0.57247,0.57787,0.55025,0.56199,0.41382,0.37251,0.56978,0.45168,0.44489,0.4599,0.47715,0.49493,0.37516,0.38439,0.44843,0.44248
1674892806,0.38979,0.36941,0.54906,0.54327,0.52517,0.49858,0.38114,0.39458,0.55683,0.43303,0.41257,0.44187,0.44774,0.46248,0.36551,0.38996,0.38008,0.41309
2023048953,,,,,,,,,,,,,,,,,,
547350619,0.42078,0.38208,0.57768,0.5689,0.51192,0.58049,0.38503,0.28004,0.58585,0.47637,0.4493,0.46475,0.47869,0.48011,0.37772,0.40348,0.40983,0.41447
2824974022,0.39854,0.37565,0.54919,0.55302,0.56964,0.50486,0.36592,0.37085,0.61435,0.45844,0.44355,0.44566,0.47155,0.46352,0.36856,0.40777,0.39238,0.40653
1889365920,0.39759,0.3786,0.56997,0.56643,0.594,0.56404,0.446,0.39828,0.59597,0.45584,0.46033,0.45867,0.48485,0.4995,0.41108,0.41819,0.4335,0.43842
3589036789,0.36591,0.34401,0.55539,0.5809,0.51943,0.51699,0.29437,0.33639,0.57313,0.42097,0.43191,0.41644,0.45113,0.47295,0.36944,0.38851,0.42895,0.44456
499135165,,,,,,,,,,,,,,,,,,
1407108815,0.39426,0.39183,0.53791,0.5405,0.59725,0.57965,0.40275,0.38816,0.61672,0.45454,0.48297,0.48479,0.47622,0.50659,0.39408,0.42372,0.4389,0.45405
199352133,0.38898,0.37119,0.55615,0.58207,0.5558,0.54957,0.44293,0.42003,0.60667,0.44049,0.44275,0.44689,0.44998,0.4883,0.37193,0.39897,0.41189,0.40182
1753490809,0.36723,0.36084,0.54806,0.56295,0.5223,0.49984,0.42423,0.41782,0.58765,0.41893,0.43386,0.44926,0.46041,0.48724,0.38309,0.37318,0.41355,0.38724
